were_here_count,can_checkin,rating_count,fan_count,overall_star_rating,talking_about_count,checkins,name,category,location,id
402,TRUE,7,97,3.9,0,402,Canterbury Roman Museum,History Museum,"{'city': 'Canterbury', 'country': 'United Kingdom', 'latitude': 51.2789, 'longitude': 1.08139, 'street': '11A Butchery Lane'}",112523748759756
0,TRUE,0,398,0,12,0,Captain Cook Memorial Museum,Museum/Art Gallery,"{'street': 'Grape Lane, Whitby, North Yorkshire, YO22 4BA, United Kingdom'}",352238348167619
91,TRUE,5,293,3.8,0,91,Captain Cook Schoolroom Museum,History Museum,"{'city': 'Great Ayton', 'country': 'United Kingdom', 'latitude': 54.488613198535, 'longitude': -1.1345744132996, 'street': '101 High Street', 'zip': 'TS9 6NB'}",170466329728325
43,TRUE,4,163,5,5,43,Castleford Museum,Museum,"{'city': 'Castleford', 'country': 'United Kingdom', 'latitude': 53.72602, 'longitude': -1.35265, 'street': 'within Castleford Library, Carlton St', 'zip': 'WF10 1BB'}",889901247788418
4590,TRUE,81,2188,4.3,15,4590,Catalyst Science Discovery Centre,Museum,"{'city': 'Widnes', 'country': 'United Kingdom', 'latitude': 53.352146302465, 'longitude': -2.7335978291161, 'street': 'Mersey Road', 'zip': 'WA8 0DF'}",131386696896508
0,TRUE,0,1,0,0,0,Cawthorne Victoria Jubilee Museum,Museum,"{'city': 'Barnsley', 'country': 'United Kingdom', 'latitude': 53.568389, 'longitude': -1.572043, 'street': 'Taylor Hill', 'zip': 'S75 4HQ'}",1606263663023750
86,TRUE,0,34,0,0,86,Chadkirk Chapel,Region,"{'city': 'Stockport', 'country': 'United Kingdom', 'latitude': 53.4097, 'longitude': -2.0895, 'zip': 'SK6 3'}",137415659612587
1027,TRUE,46,1021,4.5,6,1027,"Charnwood Museum, Leicestershire, UK",History Museum,"{'city': 'Loughborough', 'country': 'United Kingdom', 'latitude': 52.770496601618, 'longitude': -1.2104507777343, 'street': ""Charnwood Museum, Queen's Park, Granby Street"", 'zip': 'LE11 3DU'}",75992491032
25,TRUE,6,300,5,28,25,Chatteris Museum,Community Organization,"{'city': 'Chatteris', 'country': 'United Kingdom', 'latitude': 52.4542496, 'longitude': 0.0520464, 'street': '14 Church Lane', 'zip': 'PE16 6JA'}",555604764587526
304,TRUE,2,37,4,0,304,Cheddleton Flint Mill,Landmark & Historical Place,"{'city': 'Leek', 'country': 'United Kingdom', 'latitude': 53.0708, 'longitude': -2.04278, 'zip': 'ST13 7HL'}",138331592857392
295,TRUE,26,1917,5,123,295,Cheshire Military Museum,History Museum,"{'city': 'Chester', 'country': 'United Kingdom', 'latitude': 53.186351862683, 'longitude': -2.8920650482178, 'street': 'The Castle', 'zip': 'CH1 2DN'}",209050439195922
336,TRUE,55,2040,4.3,16,336,Chesterfield Museum and Art Gallery,Art Gallery,"{'city': 'Chesterfield', 'country': 'United Kingdom', 'latitude': 53.23581, 'longitude': -1.4241, 'street': 'St Marys Gate', 'zip': 'S41 7TD'}",194981557181142
25,TRUE,2,177,5,1,25,Chipping Norton Museum,History Museum,"{'city': 'Chipping Norton', 'country': 'United Kingdom', 'latitude': 51.941066728462, 'longitude': -1.5451717935828, 'street': '4 High Street', 'zip': 'OX7 5AD'}",1418505958396230
250,TRUE,58,697,4.4,0,250,"Church Farm Museum, Skegness",Travel & Transportation,"{'city': 'Skegness', 'country': 'United Kingdom', 'latitude': 53.147027201008, 'longitude': 0.32583495543046, 'street': 'Church Road South', 'zip': 'PE25 2HF'}",123303571034455
5430,TRUE,83,703,4.5,0,5430,Cliffe Castle Museum,Statue & Fountain,"{'city': 'Keighley', 'country': 'United Kingdom', 'latitude': 53.8753, 'longitude': -1.91361, 'street': 'Spring Gardens Lane', 'zip': 'BD20 6'}",108055399222805
332,TRUE,26,1558,5,22,332,Coldharbour Mill,Charity Organization,"{'city': 'Cullompton', 'country': 'United Kingdom', 'latitude': 50.901463098077, 'longitude': -3.3347797393799, 'street': 'Coldharbour Mill, Uffculme', 'zip': 'EX15 3EE'}",153048594762909
1476,TRUE,73,1434,4.5,10,1476,Corinium Museum,History Museum,"{'city': 'Cirencester', 'country': 'United Kingdom', 'latitude': 51.717298046785, 'longitude': -1.9708228111267, 'street': 'Park St', 'zip': 'GL7 2BX'}",497585666948435
52842,TRUE,2318,19530,4.6,415,52842,Coventry Transport Museum,Museum,"{'city': 'Coventry', 'country': 'United Kingdom', 'latitude': 52.410806920672, 'longitude': -1.509382111741, 'street': 'Hales Street', 'zip': 'CV1 1'}",23114642004
8,TRUE,3,265,5,6,8,Cranbrook Museum,Nonprofit Organization,"{'city': 'Cranbrook', 'country': 'United Kingdom', 'latitude': 51.097633604707, 'longitude': 0.53496122360229, 'street': '6 Carriers Rd', 'zip': 'TN17 3JX'}",698915843566764
2304,TRUE,57,2693,4.7,32,2304,The Crypt Gallery (St Pancras),Art Gallery,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.52731415441, 'longitude': -0.12975825021307, 'street': 'St Pancras Parish Church, Euston Road', 'zip': 'NW1 2BA'}",121761688102
26,TRUE,2,77,5,6,26,Crystal Palace Museum,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.41914, 'longitude': -0.07563, 'street': 'Anerley Hill', 'zip': 'SE19 2BA'}",100169970458663
1536,TRUE,52,980,4.4,9,1536,Cumberland House Natural History Museum,History Museum,"{'city': 'Southsea', 'country': 'United Kingdom', 'latitude': 50.782253587735, 'longitude': -1.0704187792809, 'street': 'Eastern Parade', 'zip': 'PO4 9RF'}",150772848452839
35,TRUE,1,99,4,1,35,Curtis Museum,Museum,"{'city': 'Alton', 'country': 'United Kingdom', 'latitude': 51.150080705, 'longitude': -0.973953265, 'street': 'High Street', 'zip': 'GU34 2BW'}",653856931420769
23,TRUE,0,3,0,0,23,Customs & Excise National Museum,Museum,"{'city': 'Liverpool', 'country': 'United Kingdom', 'latitude': 53.401158033473, 'longitude': -2.992703135, 'zip': 'L3 4AN'}",126294554088770
2343,TRUE,89,844,4.7,0,2343,Dads Army Museum,Monument,"{'city': 'Thetford', 'country': 'United Kingdom', 'latitude': 52.413128484553, 'longitude': 0.75061668015272, 'zip': 'IP24 2DS'}",170533779676007
491,TRUE,24,913,4.3,12,491,Dales Countryside Museum,Tourist Information Center,"{'city': 'Hawes', 'country': 'United Kingdom', 'latitude': 54.304616595535, 'longitude': -2.1924865643462, 'street': 'Yorkshire Dales National Park Authority, Station Yard, Burtersett Road', 'zip': 'DL8 3NT'}",204967926221039
118,TRUE,11,165,4.6,1,118,Dartmouth Museum,Art Museum,"{'city': 'Dartmouth', 'country': 'United Kingdom', 'latitude': 50.351871360364, 'longitude': -3.5786956601166, 'street': '6 Duke Street', 'zip': 'TQ6 9'}",231353946899147
1119,TRUE,98,1029,4.8,19,1119,de Havilland Aircraft Museum,History Museum,"{'city': 'London Colney', 'country': 'United Kingdom', 'latitude': 51.711262199494, 'longitude': -0.27246952056885, 'street': 'Salisbury Hall', 'zip': 'AL2 1BU'}",722070714600104
29043,TRUE,547,12117,4.3,849,29043,The De La Warr Pavilion,Arts & Entertainment,"{'city': 'Bexhill', 'country': 'United Kingdom', 'latitude': 50.83784, 'longitude': 0.47165, 'street': 'The De La Warr Pavilion, Marina', 'zip': 'TN40 1DP'}",72278791520
19355,TRUE,878,13541,4.5,977,19355,Didcot Railway Centre,Railroad Company,"{'city': 'Didcot', 'country': 'United Kingdom', 'latitude': 51.611727611337, 'longitude': -1.2422060966492, 'street': 'Didcot Railway Centre Station Rd', 'zip': 'OX11 7NJ'}",161421647218065
185,TRUE,10,130,4.9,30,185,DIG - An Archaeological Adventure,Archaeological Service,"{'city': 'York', 'country': 'United Kingdom', 'latitude': 53.95968, 'longitude': -1.07808, 'street': 'St Saviourgate', 'zip': 'YO1 8NN'}",101646723732081
6460,TRUE,144,5519,4.6,192,6460,Discovery Museum,History Museum,"{'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'latitude': 54.969155125105, 'longitude': -1.6246316471198, 'street': 'Blandford Square', 'zip': 'NE1 4JA'}",110930665661640
1110,TRUE,67,1582,4.6,78,1110,"1620s House & Garden at Donington le Heath, Leicestershire, UK",Tea Room,"{'city': 'Coalville', 'country': 'United Kingdom', 'latitude': 52.70998232, 'longitude': -1.3794804643852, 'street': 'Manor Road', 'zip': 'LE67 2FW'}",64974256667
462,TRUE,29,615,4.5,7,462,"Dr Jenner's House, Museum and Garden",History Museum,"{'city': 'Berkeley', 'country': 'United Kingdom', 'latitude': 51.69, 'longitude': -2.45778, 'street': 'Church Lane', 'zip': 'GL13 9BN'}",193683850642589
180,TRUE,9,408,4,5,180,Durham Heritage Centre and Museum,History Museum,"{'city': 'Durham', 'country': 'United Kingdom', 'latitude': 54.773777624381, 'longitude': -1.5749204613943, 'street': 'St. Mary le Bow, North Bailey', 'zip': 'DH1 3ET'}",298223286515
8,TRUE,0,2,0,0,8,Dutch Cottage,Museum,"{'city': 'Rayleigh', 'country': 'United Kingdom', 'latitude': 51.587011, 'longitude': 0.602294}",366696186865167
0,TRUE,0,18,0,0,0,Earlswood village museum,History Museum,"{'latitude': 52.482061491671, 'longitude': -1.0566079616547, 'street': 'Earlswood Village Hall Shut Lane', 'zip': 'B94 6BZ'}",921512121323597
8,TRUE,21,1777,5,64,8,East Anglia Transport Museum,History Museum,"{'city': 'Lowestoft', 'country': 'United Kingdom', 'latitude': 52.45132, 'longitude': 1.68861, 'street': 'Chapel Road, Carlton Colville', 'zip': 'NR33 8BL'}",127169834125027
338,TRUE,34,686,4.2,119,338,Ely Museum,Museum,"{'city': 'Ely', 'country': 'United Kingdom', 'latitude': 52.400422043713, 'longitude': 0.26316047088622, 'street': 'The Old Gaol, Market Street', 'zip': 'CB7 4LS'}",174505238875
6,TRUE,0,10,0,0,6,Emsworth Museum,History Museum,"{'city': 'Emsworth', 'country': 'United Kingdom', 'latitude': 50.847535590732, 'longitude': -0.93113286716397, 'street': '10 North Street', 'zip': 'PO10 7'}",223993021126233
168,TRUE,25,983,4.7,8,168,Essex Fire Museum,Nonprofit Organization,"{'city': 'Grays', 'country': 'United Kingdom', 'latitude': 51.4822006, 'longitude': 0.3195, 'street': 'Hogg Lane', 'zip': 'RM17 5QS'}",198659056934516
1837,TRUE,97,3981,4.6,67,1837,Estorick Collection,Art Gallery,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.5438919, 'longitude': -0.1004488, 'street': '39A Canonbury Square', 'zip': 'N1 2AN'}",115460326119
107784,TRUE,2518,46915,4.4,720,107784,Eureka! The National Children's Museum,Education,"{'city': 'Halifax', 'country': 'United Kingdom', 'latitude': 53.720509201782, 'longitude': -1.854733554767, 'street': 'Discovery Road', 'zip': 'HX1 2NE'}",55681996360
46,TRUE,2,31,4.5,0,46,Exmouth Museum,Museum,"{'city': 'Exmouth', 'country': 'United Kingdom', 'latitude': 50.62129, 'longitude': -3.41216, 'street': 'Sheppards Row', 'zip': 'EX8 1PW'}",114058461985065
778,TRUE,42,3050,4.7,65,778,Falmouth Art Gallery,Art Gallery,"{'city': 'Falmouth', 'country': 'United Kingdom', 'latitude': 50.155551822647, 'longitude': -5.0722439247585, 'street': 'Municipal Buildings, The Moor', 'zip': 'TR11 2RT'}",87637917785
679,TRUE,31,243,4.6,0,679,Farnborough Air Sciences Trust,History Museum,"{'city': 'Farnborough', 'country': 'United Kingdom', 'latitude': 51.2823, 'longitude': -0.753, 'street': 'Trenchard House, 85 Farnborough Road', 'zip': 'GU14 6'}",106117269419126
6843,TRUE,340,11952,4.4,776,6843,Fashion Museum Bath,Museum,"{'city': 'Bath', 'country': 'United Kingdom', 'latitude': 51.386188450101, 'longitude': -2.3626103907348, 'street': 'The Assembly Rooms, Bennett Street', 'zip': 'BA1 2QH'}",178268647365
0,TRUE,0,639,0,0,0,Feering and Kelvedon Local History Museum,Community,,220173101477439
24,TRUE,5,245,4.8,1,24,The Filey Museum,History Museum,"{'city': 'Filey', 'country': 'United Kingdom', 'latitude': 54.21124, 'longitude': -0.28715, 'street': '8-10 Queen St', 'zip': 'YO14 9HB'}",1875100952717390
1023,TRUE,41,87,4.5,0,1023,Finch Foundry,Landmark & Historical Place,"{'city': 'Okehampton', 'country': 'United Kingdom', 'latitude': 50.7306, 'longitude': -3.92611, 'zip': 'EX20 2NW'}",110390975678594
136,TRUE,14,542,4.5,2,136,Hastings Fishermen's Museum,History Museum,"{'city': 'Hastings', 'country': 'United Kingdom', 'latitude': 50.85616, 'longitude': 0.59453, 'street': 'Rock-a-Nore Road', 'zip': 'TN34 3DW'}",244959305650167
26759,TRUE,975,18332,4.5,334,26759,"The Fitzwilliam Museum, Cambridge",Art Museum,"{'city': 'Cambridge', 'country': 'United Kingdom', 'latitude': 52.200036351981, 'longitude': 0.12014413423015, 'street': 'Trumpington Street', 'zip': 'CB2 1RB'}",29023962347
2,TRUE,0,2,0,0,2,Flintham Museum,Museum,"{'city': 'Newark', 'country': 'United Kingdom', 'latitude': 53.0125476, 'longitude': -0.90257316, 'zip': 'NG23 5'}",1436782109899620
4501,TRUE,185,6467,4.5,201,4501,The Foundling Museum,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.525055052017, 'longitude': -0.12161443850401, 'street': '40 Brunswick Square', 'zip': 'WC1N 1AZ'}",12599311763
78,TRUE,6,1447,5,67,78,The Fry Art Gallery,Art Gallery,"{'city': 'Saffron Walden', 'country': 'United Kingdom', 'latitude': 52.025078765, 'longitude': 0.23811187, 'street': 'Castle St', 'zip': 'CB10 1BD'}",141755859236188
238,TRUE,3,64,5,0,238,Gainsborough's House Society,Landmark & Historical Place,"{'city': 'Sudbury, Suffolk', 'country': 'United Kingdom', 'latitude': 52.0382449, 'longitude': 0.7283582, 'street': '46-47 Gainsborough St', 'zip': 'CO10 2'}",606458232773494
16959,TRUE,582,4918,4.5,118,16959,National Justice Museum,History Museum,"{'city': 'Nottingham', 'country': 'United Kingdom', 'latitude': 52.950698965039, 'longitude': -1.1443769068908, 'street': 'The Lace Market, High Pavement', 'zip': 'NG1 1'}",314677609092
0,TRUE,13,138,5,20,324,Gold Hill Museum,Community Museum,"{'city': 'Shaftesbury', 'country': 'United Kingdom', 'latitude': 51.005397560919, 'longitude': -2.1969652175903, 'street': '1-2 Gold Hill', 'zip': 'SP7 8JW'}",1685875148300470
6682,TRUE,211,3400,4.7,116,6682,"Grant Museum of Zoology, UCL",Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.523812924546, 'longitude': -0.13434648513794, 'street': '21 University Street', 'zip': 'WC1E 6DE'}",518950638201808
1058,TRUE,20,305,4.8,6,1058,Graves Gallery,Art Gallery,"{'city': 'Sheffield', 'country': 'United Kingdom', 'latitude': 53.380073880904, 'longitude': -1.4670601596082, 'street': 'Surrey Street', 'zip': 'S1 1XZ'}",144261932282418
53,TRUE,3,95,5,5,53,Great Dunmow Maltings,Landmark & Historical Place,"{'city': 'Great Dunmow', 'country': 'United Kingdom', 'latitude': 51.8729, 'longitude': 0.36467, 'street': 'Mill Lane', 'zip': 'CM6 1BG'}",267213567024695
14533,TRUE,614,8810,4.4,208,14533,Great North Museum: Hancock,History Museum,"{'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'latitude': 54.980202071323, 'longitude': -1.6130957409823, 'street': 'Barras Bridge', 'zip': 'NE2 4PT'}",132062493527041
357,TRUE,39,907,4.9,77,357,Greater Manchester Fire Service Museum,Fire Station,"{'city': 'Rochdale', 'country': 'United Kingdom', 'latitude': 53.611489392391, 'longitude': -2.1535992622375, 'street': 'Maclure Road', 'zip': 'OL11 1DN'}",157720730943978
1671,TRUE,77,2714,4.8,30,1671,Greater Manchester Police Museum,History Museum,"{'city': 'Manchester', 'country': 'United Kingdom', 'latitude': 53.4824638, 'longitude': -2.2323845, 'street': '57A Newton Street', 'zip': 'M1 1ET'}",1388095851462440
8221,TRUE,270,3767,4.7,89,8221,Gressenhall Farm and Workhouse,History Museum,"{'city': 'Dereham', 'country': 'United Kingdom', 'latitude': 52.714431352597, 'longitude': 0.9223031262253, 'street': 'Gressenhall, Dereham, Norfolk', 'zip': 'NR20 4DR'}",275579782507005
